operator,count,mean,median,p90
SCP,2,0.8593695,0.8593695,0.9086979000000001
TVGD-tlrc,1,0.939306,0.939306,0.939306
SJAG-sjag,2,0.952069,0.952069,1.0130858
LEE,2,1.0329465,1.0329465,1.1002693
RAA,2,1.1979585,1.1979585,1.8402957
NCIT,4,13.94025125,1.2779915000000002,37.60746200000001
SBU,4,1.542268,1.364694,2.7771510000000004
GTBE,2,1.3824295,1.3824295,1.7865339
CGN,37,6.114130918918919,1.40693,12.665341999999988
SGV,41,19.500638,1.52193,21.3308
HLAG,2,1.620737,1.620737,2.1966594
BGF,12,2.8976565,1.642135,9.643115000000003
WAB-sbks,1,1.69895,1.69895,1.69895
MGsa,3,2.4008433333333334,1.74875,3.509374
STT,4,3.3579382499999997,1.820665,7.2649040000000005
LNM,34,13.63322861764706,1.89237,50.98894
CBV,3,2.8823000000000003,2.09212,4.281448
FZAG-zrh,4,2.2911475,2.14814,2.7197180000000003
SJN,2,2.172405,2.172405,2.194249
LFüB,2,2.19934,2.19934,2.293492
BGD,5,6.695974,2.24195,16.188147999999998
DIALA-lbd,4,3.29383,2.3741250000000003,5.2687550000000005
TRI,2,2.406251,2.406251,3.6138502
FCA,20,2.3442439,2.447845,3.530550000000001
DFB,2,2.525615,2.525615,2.9796430000000003
BHY-sssp,4,20.727751499999997,2.5677855,55.60647000000001
BBD,10,7.6425784000000005,2.579725,12.032234999999986
BBE,10,4.681404,2.700465,11.436309999999999
BPM-svcs,2,2.704345,2.704345,3.827877
SFT,2,2.831815,2.831815,2.929291
SFE,2,2.89093,2.89093,3.046626
NHB-nhb,2,2.91953,2.91953,4.336106
TPF-nstp,2,2.959005,2.959005,3.100897
TRN-cmn,28,3.9294309285714286,3.00576,6.9523150000000005
BST,8,4.3060332500000005,3.1186,8.855730999999999
GFR,4,2.90942,3.1232100000000003,3.812212
LB,17,5.876747058823529,3.12795,11.594082000000002
ETB,4,2.7397650000000002,3.1301050000000004,3.5656220000000003
TRAVYSAuto,245,6.121123542857143,3.15684,12.338439999999999
NHB-bbb,4,5.582965,3.16037,10.444347000000002
SBGG,2,3.174225,3.174225,4.605301
TVL-tcbb,2,3.2290200000000002,3.2290200000000002,3.614108
KBS,4,3.5781400000000003,3.32597,5.607712000000001
GLNM,2,3.38023,3.38023,4.805318000000001
LRE,2,3.402005,3.402005,5.285273
TBR,2,3.402075,3.402075,5.2107030000000005
MS,2,3.4566,3.4566,4.508984
SMGI,2,3.47074,3.47074,4.729772
BS,63,15.66103203174603,3.49965,25.292260000000024
SBP,2,3.54181,3.54181,3.931146
BHAG,3,53.343230000000005,3.56708,124.51021600000001
BBF-mbf,11,15.699933636363637,3.66015,38.8008
TOJ,7,7.5036385714285725,3.72325,18.492600000000003
BUM,19,14.456877894736841,3.75803,28.198783999999936
LSG,5,4.7258556,3.82316,8.317108
ITSB,4,3.98411,3.863735,5.804438
SBA,4,3.4087324999999997,3.909,5.02287
ITLN,4,4.168405,3.911525,6.497240000000001
ESMM-mmb,2,4.01359,4.01359,4.06867
LGGI,2,4.072845,4.072845,4.510641000000001
LLG,3,4.656626666666667,4.13095,5.877829999999999
TRAVYS,34,7.169182352941177,4.157515,17.62333
BVB,690,13.178031720289855,4.17814,29.69488
EAB,59,5.543995983050847,4.2137,11.667880000000006
LWE,2,4.21765,4.21765,4.535138
LRW,2,4.223715,4.223715,5.834127
BGU,265,6.041281471698113,4.30256,10.942359999999999
DMB,2,4.30809,4.30809,4.8339300000000005
BLM,5,4.430377999999999,4.3495,6.738468000000001
VBSA,6,5.27822,4.3582350000000005,10.3634
TLFC,6,5.186999666666667,4.36037,9.602075
BRER,110,8.346587818181817,4.360875,22.189510000000016
TPN,134,5.898927410447762,4.36883,8.999602000000001
