atlas_official,osm_official,method,atlas_uic,osm_uic,distance_m
"Bex, Les Luisances","Les Plans-sur-Bex, Pont de Nant",exact_postpass,8570643,8570643,6650.25
"Villars-sur-Ollon, La Roche","Villars-sur-Ollon, La Roche",exact,8501707,8501707,3226.69
"Villars-sur-Ollon, La Roche","Villars-sur-Ollon, La Roche",exact,8501707,8501707,3226.63
Col-de-Chassoure (Tortin),Col-de-Chassoure (Tortin),exact,8530100,8530100,2487.66
Cabane-des-Violettes,Cabane-des-Violettes,exact,8530169,8530169,1879.04
Espel (Talst.Stöfelibahn),Espel (Talst.Stöfelibahn),exact,8500277,8500277,1451.9
Piz Mundaun,Piz Mundaun,exact,8530543,8530543,1413.31
Faido,Faido,name,8505204,8505204,892.854
Diga di Luzzone/Ristorante,Diga di Luzzone/Ristorante,exact,8588141,8588141,846.803
"Lutry, Taillepied","Lutry, Taillepied",exact,8592163,8592163,680.148
